,Treated_1,Treated_2,Treated_3,Untreated_1,Untreated_2,Untreated_3,Untreated_4
ID=FBgn0035112,103,103,153,113,110,120,136
ID=FBgn0035113,255,293,405,220,228,246,274
ID=FBgn0035120,371,536,678,436,347,423,447
ID=FBgn0035121,6608,8399,10945,6947,8650,8111,8526
ID=FBgn0035122,439,577,641,404,552,593,607
ID=FBgn0035132,1403,1589,1918,1906,2079,2024,1915
ID=FBgn0035137,921,1301,1560,1290,1546,1384,1262
ID=FBgn0035140,129,241,331,143,249,222,201
ID=FBgn0035141,348,642,876,442,715,718,733
ID=FBgn0035142,19249,26255,30492,23199,32565,23182,25529
ID=FBgn0035144,243,350,462,328,410,278,482
ID=FBgn0035145,1718,2749,3423,1966,2772,2528,2564
ID=FBgn0035146,969,1071,1396,1006,1021,935,1162
ID=FBgn0035147,8118,16185,21143,17662,33018,35612,30995
ID=FBgn0035148,1147,1273,1812,872,999,998,1287
ID=FBgn0035149,2003,2693,3847,2061,2309,2332,2075
ID=FBgn0035150,3360,4113,4925,2275,2686,2634,2788
ID=FBgn0035151,127,117,149,92,73,77,90
ID=FBgn0035152,198,221,329,248,271,319,257
ID=FBgn0035153,1340,2008,2757,1651,2309,2050,1700
ID=FBgn0035154,140,145,214,94,102,88,108
ID=FBgn0035155,234,223,292,197,217,207,236
ID=FBgn0035158,841,1236,1616,799,1055,1045,980
ID=FBgn0035159,290,254,369,242,252,260,209
ID=FBgn0035160,2885,2437,3172,2460,2862,2061,2314
ID=FBgn0035162,9188,19765,24443,8605,19387,18330,22124
ID=FBgn0035164,460,514,640,382,387,430,437
ID=FBgn0035165,4847,5051,6953,4157,4101,4187,4176
ID=FBgn0035166,437,499,585,348,406,391,446
ID=FBgn0035167,92,159,251,39,109,94,132
ID=FBgn0035169,471,587,764,316,464,514,555
ID=FBgn0035171,216,125,158,153,152,106,134
ID=FBgn0035173,537,764,1003,391,622,457,497
ID=FBgn0035181,761,1778,2130,855,1692,1846,1813
ID=FBgn0035189,316,651,653,66,91,58,37
ID=FBgn0035194,226,352,531,283,487,447,382
ID=FBgn0035203,709,1201,1737,519,871,869,1061
ID=FBgn0035204,525,645,781,694,742,791,873
ID=FBgn0035205,2647,3596,4405,2966,3642,3451,3228
ID=FBgn0035206,964,926,1206,1035,968,1061,933
ID=FBgn0035207,2745,3955,4754,2810,3470,3668,3704
ID=FBgn0035209,320,448,609,349,328,438,427
ID=FBgn0035210,373,467,649,304,326,379,381
ID=FBgn0035211,806,806,994,652,600,579,702
ID=FBgn0035213,951,1134,1428,1233,1378,1335,1349
ID=FBgn0035227,1490,2281,2849,2010,2726,2406,2392
ID=FBgn0035228,1558,2435,3104,1813,2598,2475,2404
ID=FBgn0035229,1229,1924,2211,1367,1864,1700,1538
ID=FBgn0035232,1253,1846,2449,1948,2740,2597,2660
ID=FBgn0035233,280,345,413,408,354,399,429
ID=FBgn0035235,651,761,1077,840,941,874,842
ID=FBgn0035236,1700,2273,2715,2104,2600,2452,3528
ID=FBgn0035237,967,1591,2066,968,1578,1241,999
ID=FBgn0035238,537,972,1410,574,966,974,884
ID=FBgn0035239,50,110,103,95,145,118,106
ID=FBgn0035240,50,110,103,95,145,118,106
ID=FBgn0035243,363,433,618,393,373,418,369
ID=FBgn0035244,1439,2608,3352,1729,2900,3074,2603
ID=FBgn0035245,102,114,88,64,92,83,95
ID=FBgn0035247,502,682,885,734,736,860,744
ID=FBgn0035248,66,98,130,82,92,103,86
ID=FBgn0035249,195,342,432,203,356,380,308
ID=FBgn0035251,1043,1580,2106,1418,1675,1662,1545
ID=FBgn0035252,497,868,1071,625,714,828,966
ID=FBgn0035253,2328,4277,5755,3070,4866,4114,2425
ID=FBgn0035254,144,245,325,205,240,250,204
ID=FBgn0035262,207,341,404,273,603,524,340
ID=FBgn0035266,387,781,1002,184,313,382,361
ID=FBgn0035268,656,1087,1382,883,1103,1070,985
ID=FBgn0035270,496,720,824,630,736,694,774
ID=FBgn0035271,143,157,206,156,94,124,129
ID=FBgn0035272,260,303,361,270,276,276,282
ID=FBgn0035283,298,407,482,387,437,435,397
ID=FBgn0035285,1311,1312,1591,1056,979,974,1035
ID=FBgn0035294,957,1539,2117,1242,1733,1587,1307
ID=FBgn0035295,639,773,972,561,545,608,565
ID=FBgn0035298,877,1118,1333,727,935,1014,1039
ID=FBgn0035309,189,183,282,197,241,216,301
ID=FBgn0035312,124,236,302,184,362,373,340
ID=FBgn0035318,424,783,964,477,636,676,650
ID=FBgn0035321,1205,1524,1720,1117,1506,1690,2090
ID=FBgn0035323,255,321,477,241,303,334,264
ID=FBgn0035333,1954,2724,3408,1892,2895,2658,2843
ID=FBgn0035334,481,777,1026,549,757,864,722
ID=FBgn0035335,294,352,465,252,264,356,427
ID=FBgn0035336,368,498,535,385,490,509,494
ID=FBgn0035337,179,277,390,236,260,307,284
ID=FBgn0035344,32,53,55,110,151,128,124
ID=FBgn0035346,1082,1277,1565,894,1094,938,980
ID=FBgn0035348,510,713,1049,704,743,918,928
ID=FBgn0035355,181,157,236,154,124,175,246
ID=FBgn0035356,725,487,463,279,330,340,1001
ID=FBgn0035357,6067,8005,10629,7359,9433,7665,6697
ID=FBgn0035370,2461,3318,4828,2738,3381,3166,2875
ID=FBgn0035371,1715,2767,3563,1976,2974,2550,2711
ID=FBgn0035372,669,1163,1573,810,1066,1272,1040
ID=FBgn0035374,526,904,1142,434,734,820,795
ID=FBgn0035375,753,1281,1565,770,1322,1206,1295
ID=FBgn0035383,531,848,1154,631,888,882,848
ID=FBgn0035388,1130,1663,2221,1265,1964,1713,1735
ID=FBgn0035390,1193,1639,1955,927,1141,1152,1382
ID=FBgn0035393,327,371,599,368,282,408,333
ID=FBgn0035397,2953,3838,5474,3577,4591,3859,3580
ID=FBgn0035400,1426,1874,2275,1511,1957,1752,2337
ID=FBgn0035401,787,1211,1689,821,1249,1383,1230
ID=FBgn0035402,688,1117,1349,655,935,938,920
ID=FBgn0035405,506,743,1036,482,645,677,615
ID=FBgn0035407,164,178,182,170,169,132,171
ID=FBgn0035410,354,559,692,328,417,328,444
ID=FBgn0035414,278,215,249,225,206,192,194
ID=FBgn0035415,338,198,297,286,242,292,316
ID=FBgn0035420,2289,2818,3315,2234,2869,2375,3196
ID=FBgn0035421,301,442,579,269,394,364,332
ID=FBgn0035422,18956,27742,40638,24856,32290,31868,26652
ID=FBgn0035423,2404,2661,3423,2468,2337,2698,2836
ID=FBgn0035424,6533,7965,9316,7477,9211,6253,7396
ID=FBgn0035425,1024,1442,1976,1098,1778,1631,1557
ID=FBgn0035432,2696,4622,6304,2800,5003,4561,6124
ID=FBgn0035435,90,118,161,103,135,106,149
ID=FBgn0035436,609,741,1050,529,771,759,755
ID=FBgn0035437,5910,8851,11887,6106,8190,8239,7670
ID=FBgn0035438,3813,5120,7224,3655,4324,4538,4235
ID=FBgn0035439,455,696,1045,523,663,625,380
ID=FBgn0035440,1194,1382,1734,1017,1287,1323,1664
ID=FBgn0035443,187,221,248,159,186,182,184
ID=FBgn0035444,595,656,801,602,733,652,696
ID=FBgn0035445,86,121,123,94,97,112,49
ID=FBgn0035449,661,1001,1243,663,902,903,1113
ID=FBgn0035452,525,602,739,478,491,516,622
ID=FBgn0035461,130,133,140,133,116,105,149
ID=FBgn0035462,183,235,296,176,223,199,236
ID=FBgn0035464,1068,1531,1853,894,1363,1300,1435
ID=FBgn0035469,276,311,406,299,297,289,334
ID=FBgn0035470,133,179,237,147,155,202,206
ID=FBgn0035471,939,1650,2077,836,1436,1476,1489
ID=FBgn0035473,918,1116,1370,1029,1107,1102,1166
ID=FBgn0035475,88,102,178,105,116,113,115
ID=FBgn0035477,101,191,242,133,203,222,162
ID=FBgn0035480,180,125,260,161,207,209,251
ID=FBgn0035482,216,266,306,220,281,246,218
ID=FBgn0035483,165,309,349,184,223,251,264
ID=FBgn0035488,528,626,799,713,735,705,581
ID=FBgn0035496,168,209,298,318,318,370,297
ID=FBgn0035497,489,575,729,621,776,543,564
ID=FBgn0035498,1070,1230,1599,1143,1361,1231,1226
ID=FBgn0035499,9031,10026,13056,10221,10824,9302,7820
ID=FBgn0035505,176,101,177,207,174,171,179
ID=FBgn0035515,248,311,428,190,249,261,285
ID=FBgn0035517,360,475,558,201,336,383,445
ID=FBgn0035518,365,533,706,347,463,468,534
ID=FBgn0035519,671,907,1292,740,811,960,955
ID=FBgn0035520,331,398,546,350,290,389,393
ID=FBgn0035524,594,628,869,765,697,818,709
ID=FBgn0035526,1200,1568,2183,1644,1704,1773,1898
ID=FBgn0035528,1359,1365,1829,1956,1402,1598,1571
ID=FBgn0035529,172,248,295,209,230,315,256
ID=FBgn0035532,227,242,386,244,251,246,246
ID=FBgn0035533,3950,4592,5878,4613,5520,4937,6459
ID=FBgn0035534,73,122,189,96,110,125,104
ID=FBgn0035540,208,212,339,268,338,326,277
ID=FBgn0035541,523,493,627,822,707,564,692
ID=FBgn0035542,414,487,712,1026,1276,923,483
ID=FBgn0035558,5012,6260,7726,5535,7593,6993,9052
ID=FBgn0035586,582,1014,1219,643,1015,1015,875
ID=FBgn0035588,219,398,445,177,265,374,340
ID=FBgn0035589,217,470,608,330,527,558,425
ID=FBgn0035590,134,359,456,99,224,245,219
ID=FBgn0035591,208,362,444,250,319,316,337
ID=FBgn0035592,282,323,508,201,282,332,424
ID=FBgn0035593,298,689,835,328,542,570,455
ID=FBgn0035600,2072,3390,4607,2269,3833,3487,4113
ID=FBgn0035601,3165,2789,3679,2708,2686,2808,3912
ID=FBgn0035603,550,815,1061,472,583,707,631
ID=FBgn0035608,5010,4540,5523,3443,4022,3548,4118
ID=FBgn0035617,1239,1390,1802,1315,1695,1276,1298
ID=FBgn0035622,1767,2384,2858,1476,2004,2170,2524
ID=FBgn0035623,382,554,640,247,329,343,820
ID=FBgn0035624,110,140,211,123,111,120,149
ID=FBgn0035626,73,124,160,127,128,145,55
ID=FBgn0035627,193,167,286,188,176,234,230
ID=FBgn0035630,2968,4709,6745,3428,5233,5183,5778
ID=FBgn0035631,841,1237,1547,874,1122,1177,1235
ID=FBgn0035632,263,445,512,280,454,412,415
ID=FBgn0035636,268,735,913,229,532,632,541
ID=FBgn0035639,517,802,1244,576,921,921,981
ID=FBgn0035640,452,620,727,420,465,591,755
ID=FBgn0035641,319,299,360,276,360,225,341
ID=FBgn0035642,228,266,345,224,255,252,247
ID=FBgn0035644,157,438,543,250,528,549,600
ID=FBgn0035674,365,339,559,287,394,387,402
ID=FBgn0035675,129,167,182,96,168,181,240
ID=FBgn0035678,119,136,144,151,197,135,188
ID=FBgn0035679,398,680,837,507,658,757,740
ID=FBgn0035688,6026,2383,3238,4012,2721,2459,2695
ID=FBgn0035689,387,442,480,287,345,368,401
ID=FBgn0035690,450,721,901,492,722,702,566
ID=FBgn0035692,635,679,815,614,563,582,719
ID=FBgn0035699,165,49,58,150,62,86,108
ID=FBgn0035703,147,186,193,118,207,197,223
ID=FBgn0035704,417,648,803,403,676,693,721
ID=FBgn0035708,1171,1442,1875,1407,2005,1786,2388
ID=FBgn0035713,1696,3914,5126,2156,4101,3301,3114
ID=FBgn0035714,504,606,727,522,465,499,434
ID=FBgn0035715,1099,1517,2128,1462,1743,1721,1565
ID=FBgn0035719,95,106,160,88,114,84,92
ID=FBgn0035720,4461,6852,8458,5196,8084,6969,6378
ID=FBgn0035721,426,519,605,310,426,522,580
ID=FBgn0035722,242,494,637,215,416,526,512
ID=FBgn0035725,249,302,439,265,244,308,329
ID=FBgn0035726,5029,6724,8448,4901,6192,6841,5679
ID=FBgn0035727,214,185,199,53,67,71,166
ID=FBgn0035753,12386,23888,29611,16001,24557,24473,21675
ID=FBgn0035754,148,237,319,159,215,301,230
ID=FBgn0035761,737,960,1225,447,521,557,594
ID=FBgn0035762,435,536,678,431,520,525,528
ID=FBgn0035763,1355,1702,2297,1413,1842,1883,1762
ID=FBgn0035766,1338,1897,2120,1768,2360,2223,2082
ID=FBgn0035767,632,1033,1326,654,847,965,977
ID=FBgn0035769,700,948,1180,987,1179,1028,1058
ID=FBgn0035770,265,417,467,285,525,412,408
ID=FBgn0035771,2772,4668,6301,3603,5024,4715,4397
ID=FBgn0035772,6198,5694,7613,5966,5043,4959,5483
ID=FBgn0035793,2375,3713,4620,3047,4377,3840,3467
ID=FBgn0035802,59,93,76,89,176,122,51
ID=FBgn0035805,209,299,415,204,235,298,263
ID=FBgn0035807,621,897,1140,593,1024,936,863
ID=FBgn0035811,1166,1855,2432,637,1029,1086,897
ID=FBgn0035812,1984,2747,3569,1400,2077,1966,1719
ID=FBgn0035824,114,170,296,113,214,208,187
ID=FBgn0035825,339,656,955,360,654,608,601
ID=FBgn0035827,308,343,379,395,271,276,353
ID=FBgn0035829,697,737,1045,613,561,642,754
ID=FBgn0035830,1151,1566,2135,1341,1552,1503,1144
ID=FBgn0035831,251,247,302,279,208,259,305
ID=FBgn0035833,578,811,1036,527,828,748,764
ID=FBgn0035838,156,201,209,179,171,160,168
ID=FBgn0035842,639,552,547,564,595,434,591
ID=FBgn0035848,347,376,449,412,444,463,457
ID=FBgn0035849,486,646,780,527,547,594,618
ID=FBgn0035850,977,1472,2001,1304,1937,1861,1711
ID=FBgn0035851,750,988,1216,734,851,887,918
ID=FBgn0035853,1236,1259,1892,1268,1146,1277,1326
ID=FBgn0035854,188,241,290,174,257,263,209
ID=FBgn0035866,293,303,396,299,313,348,343
ID=FBgn0035867,960,1175,1430,954,1098,1035,1170
ID=FBgn0035868,124,97,117,116,88,110,123
ID=FBgn0035871,1575,1835,2615,1556,1737,2151,2377
ID=FBgn0035872,2708,4054,4916,3023,4780,3807,3557
ID=FBgn0035876,118,145,204,186,147,177,226
ID=FBgn0035877,249,339,476,336,441,523,343
ID=FBgn0035878,986,2070,2598,1206,2076,2078,1880
ID=FBgn0035879,1041,1565,2026,1692,2238,1956,1945
ID=FBgn0035880,101,162,222,104,165,167,113
ID=FBgn0035888,193,240,311,217,305,236,233
ID=FBgn0035889,668,729,985,715,783,793,787
ID=FBgn0035890,270,326,405,215,255,284,307
ID=FBgn0035896,461,442,515,365,365,437,521
ID=FBgn0035900,182,260,390,206,274,262,247
ID=FBgn0035901,302,396,464,316,292,291,292
ID=FBgn0035903,164,221,249,193,249,222,251
ID=FBgn0035904,1803,2283,3091,2065,1928,2584,2777
ID=FBgn0035906,874,962,1315,1132,1021,1166,1019
ID=FBgn0035907,100,105,178,122,90,110,93
ID=FBgn0035909,3745,4571,5872,4171,4423,4502,4864
ID=FBgn0035911,325,453,571,381,435,583,456
ID=FBgn0035916,347,319,436,385,319,332,342
ID=FBgn0035917,380,481,706,377,548,423,433
ID=FBgn0035918,375,477,702,373,538,420,430
ID=FBgn0035923,648,707,777,683,839,729,693
ID=FBgn0035942,142,202,221,168,202,180,201
ID=FBgn0035944,821,969,1308,987,911,989,1131
ID=FBgn0035945,679,982,1113,744,995,925,875
ID=FBgn0035947,1018,1450,2023,1131,1300,1422,1293
ID=FBgn0035951,515,802,1011,555,707,770,780
ID=FBgn0035953,607,892,1041,623,886,856,880
ID=FBgn0035959,1316,1085,1213,1587,1343,1102,1509
ID=FBgn0035964,230,449,547,240,445,370,460
ID=FBgn0035965,112,103,128,118,84,85,122
ID=FBgn0035968,395,456,702,194,224,267,229
ID=FBgn0035975,139,189,228,105,109,149,161
ID=FBgn0035976,309,436,492,250,356,398,412
ID=FBgn0035977,277,257,315,306,335,312,385
ID=FBgn0035978,1084,1165,1554,960,1119,1140,1255
ID=FBgn0035981,416,543,697,477,510,570,581
ID=FBgn0035983,308,373,473,362,389,391,341
ID=FBgn0035986,1118,1136,1484,895,1042,878,1016
ID=FBgn0035989,642,816,969,892,1022,982,898
ID=FBgn0035993,370,602,893,433,569,515,542
ID=FBgn0035995,432,732,1107,479,713,551,551
ID=FBgn0035996,128,126,123,74,120,108,123
ID=FBgn0035997,668,966,1178,858,1244,1009,892
ID=FBgn0035998,72,106,151,94,115,103,105
ID=FBgn0035999,200,220,299,247,251,225,226
ID=FBgn0036000,258,349,436,336,315,322,318
ID=FBgn0036004,1854,2356,2696,2547,2947,2370,2122
ID=FBgn0036005,182,213,311,182,227,230,262
ID=FBgn0036007,1716,2152,2214,1076,1306,1184,1071
ID=FBgn0036008,149,107,166,153,171,143,200
ID=FBgn0036018,362,425,525,426,522,464,530
ID=FBgn0036020,265,338,491,285,363,322,308
ID=FBgn0036028,89,181,231,103,155,171,166
ID=FBgn0036030,466,547,659,506,586,613,667
ID=FBgn0036032,605,975,1304,918,1228,1002,731
ID=FBgn0036035,422,467,588,559,443,474,477
ID=FBgn0036036,100,120,122,99,76,101,95
ID=FBgn0036038,402,757,845,415,702,652,619
ID=FBgn0036039,295,362,461,318,377,329,374
ID=FBgn0036043,2494,2757,3421,2930,3156,2671,3189
ID=FBgn0036052,250,379,507,280,358,303,290
ID=FBgn0036053,2151,2793,3461,2635,3448,3298,3933
ID=FBgn0036056,77,107,179,75,85,81,91
ID=FBgn0036057,77,107,179,75,85,81,91
ID=FBgn0036058,1316,1721,2275,1339,1797,1643,1843
ID=FBgn0036059,753,694,958,1093,1089,1050,1069
ID=FBgn0036063,86,111,119,110,92,121,98
ID=FBgn0036090,174,199,278,189,183,207,272
ID=FBgn0036096,768,1465,1854,749,1142,1241,1182
ID=FBgn0036099,1058,959,1438,1173,1082,1047,981
ID=FBgn0036101,178,133,248,259,256,208,339
ID=FBgn0036104,570,860,1093,620,780,755,704
ID=FBgn0036107,184,112,203,186,91,178,191
ID=FBgn0036111,2684,3157,3928,2770,3360,3029,3464
ID=FBgn0036117,186,187,208,124,179,202,288
ID=FBgn0036118,90,105,124,93,76,111,118
ID=FBgn0036121,1123,1737,2467,1373,1553,2030,2047
ID=FBgn0036124,597,799,1043,710,978,930,960
ID=FBgn0036126,299,186,221,243,165,193,196
ID=FBgn0036133,365,869,1057,374,812,857,882
ID=FBgn0036134,848,1350,1936,1028,1583,1383,1490
ID=FBgn0036135,255,619,869,242,549,583,503
ID=FBgn0036136,455,724,994,453,642,633,615
ID=FBgn0036141,1100,1698,2075,1080,1440,1484,1507
ID=FBgn0036144,2103,2773,3583,2155,2699,2459,2642
ID=FBgn0036147,1461,1905,2437,1889,2252,2310,2633
ID=FBgn0036152,367,382,447,437,575,387,196
ID=FBgn0036155,43,67,112,90,152,128,37
ID=FBgn0036159,379,414,536,327,385,400,422
ID=FBgn0036165,793,478,607,775,708,471,523
ID=FBgn0036170,140,244,364,99,209,224,176
ID=FBgn0036173,698,548,788,628,533,558,664
ID=FBgn0036180,749,1066,1320,743,1132,990,982
ID=FBgn0036181,121,184,196,261,374,330,201
ID=FBgn0036184,232,288,375,176,267,290,289
ID=FBgn0036186,106,164,163,105,161,129,157
ID=FBgn0036187,330,459,504,375,497,468,510
ID=FBgn0036188,262,439,606,234,369,420,393
ID=FBgn0036191,551,813,974,622,963,836,1025
ID=FBgn0036194,722,1020,1473,983,1322,1410,1080
ID=FBgn0036196,148,166,212,217,343,300,226
ID=FBgn0036198,146,179,260,113,89,130,146
ID=FBgn0036199,361,608,801,483,788,712,749
ID=FBgn0036207,238,254,374,263,264,213,249
ID=FBgn0036210,68,117,154,82,95,135,136
ID=FBgn0036211,634,920,1233,790,964,1000,1164
ID=FBgn0036213,16500,25849,32678,14350,21883,30652,26349
ID=FBgn0036237,748,1745,2254,884,1711,1617,1478
ID=FBgn0036239,1136,1549,2038,1331,1489,1510,1678
ID=FBgn0036240,247,376,470,202,319,343,373
ID=FBgn0036248,289,323,439,315,383,339,387
ID=FBgn0036249,130,199,275,148,177,189,160
ID=FBgn0036254,324,393,494,420,516,475,459
ID=FBgn0036257,772,1139,1548,1034,1465,1365,1503
ID=FBgn0036258,3281,5365,7684,3829,4938,5300,4733
ID=FBgn0036263,407,516,607,398,440,445,518
ID=FBgn0036271,494,667,860,382,591,615,714
ID=FBgn0036272,846,1275,1640,783,948,951,1012
ID=FBgn0036273,105,162,221,139,199,175,148
ID=FBgn0036277,307,455,538,235,296,400,405
ID=FBgn0036279,623,1070,1201,849,1387,1257,1604
ID=FBgn0036286,544,675,1117,521,754,821,794
ID=FBgn0036288,111,101,179,102,137,154,159
ID=FBgn0036290,1384,1561,2233,1151,1205,1386,1225
ID=FBgn0036291,135,132,150,84,128,141,182
ID=FBgn0036292,203,263,345,228,197,245,260
ID=FBgn0036294,193,187,177,173,146,146,230
ID=FBgn0036298,482,909,1417,487,950,992,942
ID=FBgn0036299,654,1151,1628,378,628,625,548
ID=FBgn0036300,355,513,650,319,339,503,584
ID=FBgn0036301,279,338,490,328,370,432,429
ID=FBgn0036302,1319,1813,2298,1649,2246,1894,1601
ID=FBgn0036305,545,544,748,582,630,591,576
ID=FBgn0036306,334,303,423,290,250,391,575
ID=FBgn0036309,1681,1205,1390,1371,1508,1379,1737
ID=FBgn0036314,470,828,1197,451,778,801,807
ID=FBgn0036316,3782,6014,7749,2638,4396,4544,6252
ID=FBgn0036317,564,771,1033,501,627,582,629
ID=FBgn0036318,1254,1754,2455,1372,2336,2039,2292
ID=FBgn0036332,765,482,528,779,632,569,812
ID=FBgn0036333,1230,1082,1194,1162,1066,980,1137
ID=FBgn0036334,945,1453,2228,1230,1457,1586,1593
ID=FBgn0036335,184,167,237,122,139,144,193
ID=FBgn0036336,289,424,549,284,371,405,467
ID=FBgn0036337,601,760,939,806,853,856,943
ID=FBgn0036340,1491,2444,2926,1635,2470,1978,1794
ID=FBgn0036341,528,878,1133,628,958,947,953
ID=FBgn0036342,198,195,254,239,173,233,264
ID=FBgn0036353,421,576,721,286,485,432,535
ID=FBgn0036354,691,1314,1666,813,1707,1591,1522
ID=FBgn0036356,148,158,253,112,129,161,138
ID=FBgn0036365,850,1535,1848,790,1210,1151,1028
ID=FBgn0036366,138,205,406,159,212,271,245
ID=FBgn0036369,280,283,369,258,266,270,298
ID=FBgn0036372,1535,1819,2290,1439,1574,1504,1366
ID=FBgn0036373,3056,4446,5544,6872,9926,7859,5028
ID=FBgn0036374,929,1668,2147,1229,1773,1425,1533
ID=FBgn0036376,1814,2818,3455,2240,2932,2850,2788
ID=FBgn0036381,192,170,298,228,286,233,128
ID=FBgn0036386,226,284,426,258,317,310,273
ID=FBgn0036389,3149,3834,4744,2495,3164,2731,2835
ID=FBgn0036396,104,124,171,103,127,121,108
ID=FBgn0036397,193,368,461,173,293,273,299
ID=FBgn0036398,4313,5810,6484,5654,8005,5182,5360
ID=FBgn0036402,1597,2394,3040,1553,2234,2176,2587
ID=FBgn0036403,100,101,115,66,53,61,91
ID=FBgn0036405,242,488,584,301,336,398,330
ID=FBgn0036406,103,103,143,126,124,104,101
ID=FBgn0036423,79,106,135,55,86,116,116
ID=FBgn0036428,201,155,224,277,257,211,181
ID=FBgn0036446,619,639,804,534,661,528,631
ID=FBgn0036448,3071,4200,5051,3547,4463,3766,3695
ID=FBgn0036449,2061,2330,3065,1813,1999,1795,1841
ID=FBgn0036450,877,1398,1820,1024,1323,1281,1192
ID=FBgn0036451,4155,5311,6769,5092,6476,5156,3339
ID=FBgn0036454,2995,2242,2619,2948,3315,2383,2284
ID=FBgn0036460,465,774,1015,629,847,1011,890
ID=FBgn0036462,563,735,1071,524,632,638,786
ID=FBgn0036463,848,1054,1193,680,942,862,794
ID=FBgn0036476,270,347,398,354,335,270,342
ID=FBgn0036480,547,822,1068,565,739,759,689
ID=FBgn0036483,366,444,617,393,505,426,420
ID=FBgn0036484,794,1211,1471,903,1064,1179,1075
ID=FBgn0036486,1121,1467,1784,1123,1488,1299,1446
ID=FBgn0036487,922,1388,1766,900,1172,1251,1085
ID=FBgn0036488,428,524,663,394,421,445,436
ID=FBgn0036489,804,1266,1600,843,1119,1153,1117
ID=FBgn0036493,141,130,207,147,200,166,120
ID=FBgn0036500,331,473,737,339,499,541,497
ID=FBgn0036501,507,589,677,566,582,668,738
ID=FBgn0036502,188,167,229,167,192,178,197
ID=FBgn0036505,1534,1366,1884,1658,1517,1605,1839
ID=FBgn0036509,1800,1791,2217,1448,1640,1670,1875
ID=FBgn0036510,467,606,690,539,472,647,508
ID=FBgn0036512,464,570,681,405,451,562,577
ID=FBgn0036514,598,632,796,652,696,662,671
ID=FBgn0036515,648,855,1287,619,718,828,1013
ID=FBgn0036516,878,1152,1733,1011,1116,1155,981
ID=FBgn0036518,3758,4325,5367,4635,5604,4150,4278
ID=FBgn0036519,380,409,495,320,443,397,418
ID=FBgn0036522,440,590,761,502,644,543,444
ID=FBgn0036534,4099,3855,4367,4254,4056,3061,4133
ID=FBgn0036536,164,161,219,183,193,221,207
ID=FBgn0036537,537,409,552,677,421,483,694
ID=FBgn0036538,453,339,476,449,354,364,497
ID=FBgn0036545,359,444,592,341,420,419,417
ID=FBgn0036549,151,215,340,186,268,302,241
ID=FBgn0036551,88,127,177,112,127,132,124
ID=FBgn0036556,1114,808,1067,1360,986,923,949
ID=FBgn0036557,461,593,734,515,536,621,525
ID=FBgn0036565,1517,1258,1418,1078,1085,937,1377
ID=FBgn0036566,2936,3866,4537,2748,3933,3504,4308
ID=FBgn0036567,728,1053,1383,686,968,1013,957
ID=FBgn0036568,328,587,677,381,413,462,436
ID=FBgn0036569,248,265,256,196,255,251,298
ID=FBgn0036570,424,538,696,385,437,493,516
ID=FBgn0036571,451,393,482,434,421,391,452
ID=FBgn0036574,755,927,1045,939,908,929,1013
ID=FBgn0036576,1625,1840,2496,4095,4813,3463,1992
ID=FBgn0036579,356,389,542,372,387,400,416
ID=FBgn0036580,439,396,627,352,366,445,593
ID=FBgn0036581,375,333,361,426,263,324,331
ID=FBgn0036614,254,326,383,287,388,314,330
ID=FBgn0036621,1722,1894,2486,1970,2415,2146,2357
ID=FBgn0036622,68,72,138,71,102,93,100
ID=FBgn0036623,2616,3011,4133,2582,2969,3046,3078
ID=FBgn0036624,674,892,1052,786,1061,789,919
ID=FBgn0036629,109,121,131,69,105,109,207
ID=FBgn0036640,297,386,453,238,309,335,310
ID=FBgn0036641,303,339,480,176,230,276,168
ID=FBgn0036643,220,310,385,258,301,452,338
ID=FBgn0036646,386,574,660,465,445,463,394
ID=FBgn0036648,306,475,604,376,418,512,376
ID=FBgn0036661,1563,1906,2568,1919,2050,1876,2097
ID=FBgn0036662,273,468,639,286,458,463,523
ID=FBgn0036663,4948,7959,9461,7392,12952,11525,11764
ID=FBgn0036665,370,443,619,334,444,474,553
ID=FBgn0036666,1532,1935,2510,2170,2167,2068,1833
ID=FBgn0036667,350,280,371,364,268,303,293
ID=FBgn0036668,1844,2354,2847,2372,2490,2285,2261
ID=FBgn0036671,512,663,911,551,547,524,465
ID=FBgn0036684,759,966,1190,1559,1860,1556,1462
ID=FBgn0036685,1449,1970,2727,1524,1831,2012,1572
ID=FBgn0036686,1337,1833,2147,1541,1946,2009,1909
ID=FBgn0036688,323,684,833,225,371,407,378
ID=FBgn0036689,101,139,214,103,136,140,184
ID=FBgn0036691,183,359,526,257,287,376,357
ID=FBgn0036695,329,450,542,396,402,476,471
ID=FBgn0036696,184,242,285,134,160,219,232
ID=FBgn0036697,562,614,832,535,563,560,736
ID=FBgn0036702,3331,4543,5932,3013,3956,3650,2950
ID=FBgn0036710,733,966,1243,844,1011,941,953
ID=FBgn0036714,410,517,628,414,499,486,428
ID=FBgn0036726,537,555,702,473,538,642,571
ID=FBgn0036728,1442,2060,2805,1399,1496,1717,2273
ID=FBgn0036732,2107,2543,3361,3334,4317,3596,3014
ID=FBgn0036733,431,643,871,481,603,585,571
ID=FBgn0036734,1165,1569,1895,1511,1969,1632,1409
ID=FBgn0036735,1019,1042,1304,1224,1430,1076,844
ID=FBgn0036740,826,1190,1657,765,1182,1250,1272
ID=FBgn0036741,913,1192,1466,971,1314,1267,1729
ID=FBgn0036745,1108,1109,1464,904,936,1205,1162
