	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
ID=FBgn0050095	14	11	7	15	14	6	12
ID=FBgn0050096	55	46	40	54	36	62	62
ID=FBgn0050098	0	0	0	0	0	0	0
ID=FBgn0050099	3	2	0	5	7	3	2
ID=FBgn0050100	191	174	265	292	318	450	180
ID=FBgn0050101	0	0	2	0	0	0	0
ID=FBgn0050103	0	0	0	1	0	0	0
ID=FBgn0050104	103	69	81	60	45	72	56
ID=FBgn0050105	151	80	119	142	86	125	145
ID=FBgn0050106	2	3	0	0	0	0	0
ID=FBgn0050108	81	123	162	110	113	185	163
ID=FBgn0050109	196	162	234	167	196	266	205
ID=FBgn0050110	0	0	0	1	0	0	0
ID=FBgn0050114	0	0	0	0	0	0	0
ID=FBgn0050115	8340	10906	9878	9629	12551	14449	12811
ID=FBgn0050120	249	305	374	252	343	459	407
ID=FBgn0050121	0	0	0	0	0	0	0
ID=FBgn0050122	6180	9281	7695	5223	8105	10268	7929
ID=FBgn0050125	0	0	0	0	0	0	0
ID=FBgn0050145	0	0	0	0	0	0	1
ID=FBgn0050147	1229	1587	1554	583	806	1082	1562
ID=FBgn0050148	52	64	102	23	54	70	141
ID=FBgn0050151	0	0	0	0	0	0	0
ID=FBgn0050154	0	0	0	0	0	0	1
ID=FBgn0050155	0	0	0	0	0	0	0
ID=FBgn0050156	408	476	460	341	474	541	458
ID=FBgn0050157	44	61	77	51	68	72	47
ID=FBgn0050158	0	2	2	0	2	0	0
ID=FBgn0050159	724	816	691	583	775	1055	644
ID=FBgn0050160	5	9	5	6	2	2	3
ID=FBgn0050161	1	6	0	2	4	6	4
ID=FBgn0050163	3	4	7	7	0	7	11
ID=FBgn0050169	230	248	211	226	173	258	269
ID=FBgn0050172	2	0	0	0	0	4	3
ID=FBgn0050177	2	0	0	1	0	0	0
ID=FBgn0050178	9	13	4	6	4	17	9
ID=FBgn0050181	1	14	9	3	4	9	4
ID=FBgn0050183	583	755	737	530	788	1083	702
ID=FBgn0050184	31	53	73	31	71	118	94
ID=FBgn0050185	305	473	484	457	730	935	567
ID=FBgn0050187	1341	1496	1358	1437	1376	1690	1484
ID=FBgn0050192	0	0	0	0	0	0	0
ID=FBgn0050195	2	0	0	0	0	0	0
ID=FBgn0050196	10	12	8	8	9	28	3
ID=FBgn0050197	2	0	2	2	2	0	0
ID=FBgn0050198	0	0	0	0	0	0	0
ID=FBgn0050199	0	0	0	0	0	0	0
ID=FBgn0050200	0	0	0	0	0	0	0
ID=FBgn0050201	0	0	0	0	0	0	0
ID=FBgn0050202	0	0	0	0	0	0	0
ID=FBgn0050203	0	4	0	0	2	0	1
ID=FBgn0050206	0	0	0	0	0	0	0
ID=FBgn0050208	0	0	0	1	0	0	0
ID=FBgn0050209	0	0	0	0	0	0	1
ID=FBgn0050211	0	0	0	0	0	0	0
ID=FBgn0050212	0	0	0	0	0	0	0
ID=FBgn0050215	0	0	0	0	0	0	0
ID=FBgn0050218	1	0	0	3	0	0	0
ID=FBgn0050220	0	0	0	0	0	0	0
ID=FBgn0050222	0	0	0	0	0	0	0
ID=FBgn0050223	0	0	0	1	0	0	0
ID=FBgn0050225	2	1	1	3	0	0	0
ID=FBgn0050227	0	0	0	0	0	0	0
ID=FBgn0050229	0	0	0	1	0	0	0
ID=FBgn0050231	0	0	0	0	0	0	0
ID=FBgn0050232	0	0	0	0	0	0	0
ID=FBgn0050234	0	0	0	0	0	0	0
ID=FBgn0050235	0	0	0	0	0	0	0
ID=FBgn0050237	1	0	0	1	0	2	0
ID=FBgn0050238	0	1	0	0	1	0	0
ID=FBgn0050239	1	1	2	0	1	0	2
ID=FBgn0050240	2	1	1	2	0	0	1
ID=FBgn0050241	0	0	0	0	0	0	0
ID=FBgn0050249	0	0	0	1	0	0	0
ID=FBgn0050250	0	0	0	2	0	1	0
ID=FBgn0050251	0	0	0	2	0	0	0
ID=FBgn0050254	0	0	0	0	0	0	1
ID=FBgn0050257	1	0	0	0	0	0	0
ID=FBgn0050259	0	0	2	1	0	4	0
ID=FBgn0050263	5	4	8	4	10	14	3
ID=FBgn0050265	0	0	0	0	0	0	0
ID=FBgn0050267	1	0	0	0	0	0	0
ID=FBgn0050268	1	0	0	1	0	3	0
ID=FBgn0050269	322	447	380	149	229	425	472
ID=FBgn0050271	0	0	0	0	3	2	2
ID=FBgn0050272	1	0	0	0	0	0	0
ID=FBgn0050273	322	447	380	149	229	425	472
ID=FBgn0050274	0	0	0	0	0	0	0
ID=FBgn0050275	0	0	0	0	0	0	0
ID=FBgn0050277	0	0	0	0	0	0	0
ID=FBgn0050278	0	0	0	0	0	0	0
ID=FBgn0050279	3	5	4	4	13	6	6
ID=FBgn0050280	7	2	2	9	5	11	7
ID=FBgn0050281	15	10	13	23	35	7	22
ID=FBgn0050284	8	31	16	20	18	21	21
ID=FBgn0050285	9	8	13	8	19	17	8
ID=FBgn0050286	7	13	8	0	5	6	5
ID=FBgn0050287	5	19	6	4	10	3	4
ID=FBgn0050288	1	0	2	0	2	0	0
ID=FBgn0050289	0	2	4	1	2	2	1
ID=FBgn0050290	462	505	595	445	613	776	505
ID=FBgn0050291	439	626	726	332	693	895	642
ID=FBgn0050293	0	0	2	0	0	4	1
ID=FBgn0050295	267	268	250	189	239	351	300
ID=FBgn0050296	2	4	4	3	2	4	1
ID=FBgn0050297	1	0	0	0	1	0	0
ID=FBgn0050298	0	0	0	0	0	0	0
ID=FBgn0050299	0	0	0	0	0	0	0
ID=FBgn0050316	1	0	0	0	0	0	0
ID=FBgn0050323	121	257	171	121	196	200	332
ID=FBgn0050324	0	2	0	1	1	4	0
ID=FBgn0050325	0	0	0	0	0	0	0
ID=FBgn0050326	1	2	2	4	1	0	0
ID=FBgn0050333	0	0	0	0	0	0	0
ID=FBgn0050334	5	1	4	3	2	6	2
ID=FBgn0050338	161	111	95	116	104	137	142
ID=FBgn0050339	430	467	518	435	562	660	543
ID=FBgn0050340	168	165	189	182	131	200	194
ID=FBgn0050342	512	621	593	438	622	805	516
ID=FBgn0050343	73	30	13	121	22	42	106
ID=FBgn0050344	666	885	889	541	640	876	996
ID=FBgn0050345	76	123	106	59	62	117	131
ID=FBgn0050349	1415	1737	1802	993	1519	2014	1846
ID=FBgn0050350	0	0	0	0	0	0	0
ID=FBgn0050354	1	0	3	1	1	0	1
ID=FBgn0050355	6	9	8	6	8	1	10
ID=FBgn0050356	6	18	6	16	7	16	12
ID=FBgn0050357	56	46	44	56	47	65	56
ID=FBgn0050359	24	41	51	52	97	127	18
ID=FBgn0050360	7	4	3	4	2	8	5
ID=FBgn0050361	8	14	10	5	8	12	8
ID=FBgn0050362	1	0	3	6	2	4	1
ID=FBgn0050363	1	2	2	3	16	8	1
ID=FBgn0050364	6	5	4	4	6	10	6
ID=FBgn0050365	6	5	4	4	6	10	6
ID=FBgn0050366	1	2	2	3	16	8	1
ID=FBgn0050369	0	0	0	0	0	0	0
ID=FBgn0050371	0	0	0	0	0	0	0
ID=FBgn0050372	1564	2106	1916	1480	2085	2583	1812
ID=FBgn0050373	191	235	330	174	293	387	289
ID=FBgn0050374	4	0	2	2	0	10	2
ID=FBgn0050375	0	0	0	0	0	0	0
ID=FBgn0050376	0	0	0	0	0	0	0
ID=FBgn0050377	13	33	35	32	37	28	12
ID=FBgn0050378	2	5	0	0	0	2	2
ID=FBgn0050379	0	0	0	0	2	0	0
ID=FBgn0050380	0	0	0	0	0	0	1
ID=FBgn0050381	157	154	187	118	207	299	220
ID=FBgn0050382	1481	2111	2487	1932	2604	3561	2672
ID=FBgn0050383	54	67	81	108	88	113	101
ID=FBgn0050384	0	0	0	0	0	0	0
ID=FBgn0050385	0	0	0	0	0	0	0
ID=FBgn0050389	2824	3896	3198	2984	4509	5847	4080
ID=FBgn0050390	110	200	268	107	200	344	240
ID=FBgn0050391	0	0	2	1	2	6	1
ID=FBgn0050392	188	229	284	182	251	301	255
ID=FBgn0050393	0	0	1	0	2	0	0
ID=FBgn0050394	691	863	794	784	902	1057	906
ID=FBgn0050395	0	0	0	0	0	0	0
ID=FBgn0050398	6	10	12	13	1	17	6
ID=FBgn0050401	1	0	0	0	0	0	0
ID=FBgn0050403	16	26	44	35	56	77	41
ID=FBgn0050404	735	819	725	628	726	1071	875
ID=FBgn0050406	1	0	0	6	0	0	0
ID=FBgn0050407	0	0	0	4	0	0	0
ID=FBgn0050409	160	88	129	144	148	188	111
ID=FBgn0050410	779	1165	1350	868	1703	1973	1067
ID=FBgn0050411	0	0	0	0	0	0	0
ID=FBgn0050412	0	0	0	0	0	0	0
ID=FBgn0050413	0	4	4	4	10	3	11
ID=FBgn0050414	55	54	72	65	113	126	65
ID=FBgn0050416	0	0	0	2	0	0	0
ID=FBgn0050417	0	0	0	1	0	0	0
ID=FBgn0050418	4	20	12	2	17	8	9
ID=FBgn0050419	3	0	2	4	1	4	1
ID=FBgn0050421	1833	2229	1955	1659	2250	2949	1946
ID=FBgn0050423	1235	1266	1265	978	1192	1701	1466
ID=FBgn0050424	3	12	8	15	12	16	3
ID=FBgn0050428	128	140	93	136	95	139	166
ID=FBgn0050429	0	0	0	0	0	0	0
ID=FBgn0050430	0	0	0	0	0	0	0
ID=FBgn0050431	0	2	0	2	0	4	3
ID=FBgn0050432	0	0	2	0	0	0	1
ID=FBgn0050438	541	611	536	687	538	648	689
ID=FBgn0050440	258	274	181	307	179	230	342
ID=FBgn0050441	4	2	0	10	4	6	18
ID=FBgn0050443	217	349	359	218	334	486	306
ID=FBgn0050446	18	20	22	9	10	12	15
ID=FBgn0050447	0	0	0	0	0	0	0
ID=FBgn0050449	0	0	0	1	0	0	0
ID=FBgn0050452	0	0	0	1	0	0	0
ID=FBgn0050454	0	0	0	0	0	0	0
ID=FBgn0050457	0	0	0	0	0	0	0
ID=FBgn0050458	0	3	0	0	0	1	0
ID=FBgn0050460	542	738	535	457	664	850	376
ID=FBgn0050461	1	6	10	7	2	4	7
ID=FBgn0050462	1	6	10	7	2	4	7
ID=FBgn0050463	24231	43529	51344	14557	28488	38004	35305
ID=FBgn0050464	0	0	0	0	0	0	0
ID=FBgn0050466	495	547	538	525	613	778	770
ID=FBgn0050467	226	398	343	288	424	468	287
ID=FBgn0050468	0	0	2	0	0	0	0
ID=FBgn0050469	0	0	0	0	2	0	0
ID=FBgn0050471	0	0	0	0	0	0	0
ID=FBgn0050472	0	0	0	1	0	2	0
ID=FBgn0050476	139	101	109	160	105	161	162
ID=FBgn0050479	0	1	0	0	0	0	0
ID=FBgn0050480	0	0	0	0	0	0	0
ID=FBgn0050481	588	635	573	493	602	841	646
ID=FBgn0050484	33	39	41	39	13	22	30
ID=FBgn0050485	20	22	16	25	31	15	60
ID=FBgn0050486	0	2	0	2	0	3	0
ID=FBgn0050487	3	1	4	2	2	0	0
ID=FBgn0050488	2	2	0	5	1	1	0
ID=FBgn0050489	524	477	562	379	375	469	548
ID=FBgn0050491	125	98	90	86	92	124	95
ID=FBgn0050493	391	448	421	463	488	735	475
ID=FBgn0050495	3	0	1	11	9	24	14
ID=FBgn0050496	314	326	316	337	381	511	326
ID=FBgn0050499	563	788	907	627	1048	1345	844
ID=FBgn0050502	559	711	697	417	574	776	506
ID=FBgn0050503	172	296	286	176	272	347	237
ID=FBgn0050506	0	0	0	0	0	0	0
ID=FBgn0050509	1	1	0	1	0	1	0
ID=FBgn0051002	0	0	4	1	0	0	2
ID=FBgn0051004	6	20	5	11	8	11	9
ID=FBgn0051005	358	405	364	228	276	366	482
ID=FBgn0051007	0	0	0	0	0	0	0
ID=FBgn0051008	0	0	0	0	0	0	0
ID=FBgn0051010	1	0	0	0	0	0	0
ID=FBgn0051013	0	0	0	1	0	0	0
ID=FBgn0051014	0	0	0	0	0	0	0
ID=FBgn0051015	1	4	0	0	0	0	0
ID=FBgn0051016	1	2	0	0	2	2	0
ID=FBgn0051017	0	2	6	2	4	2	0
ID=FBgn0051019	21	35	31	11	18	21	31
ID=FBgn0051021	3	4	1	1	0	2	0
ID=FBgn0051023	0	0	0	0	0	0	0
ID=FBgn0051025	11	10	8	3	20	12	8
ID=FBgn0051028	3	2	6	3	0	6	1
ID=FBgn0051029	42	64	49	37	79	69	36
ID=FBgn0051030	0	0	0	0	0	0	1
ID=FBgn0051032	35	90	69	33	88	118	84
ID=FBgn0051036	2	6	10	4	1	10	2
ID=FBgn0051038	791	1421	1101	399	676	842	978
ID=FBgn0051040	386	545	649	410	642	874	628
ID=FBgn0051041	4	6	8	3	2	6	7
ID=FBgn0051044	245	189	155	194	124	144	58
ID=FBgn0051050	0	0	0	0	0	0	0
ID=FBgn0051051	12	24	21	20	28	71	21
ID=FBgn0051053	10	5	19	3	11	6	10
ID=FBgn0051054	96	117	69	77	84	106	105
ID=FBgn0051055	2	0	0	8	4	4	2
ID=FBgn0051064	743	1205	1062	787	1183	1285	966
ID=FBgn0051065	6	18	22	14	18	20	36
ID=FBgn0051068	45	41	45	41	52	55	56
ID=FBgn0051070	0	0	0	0	0	0	0
ID=FBgn0051071	0	0	0	2	0	0	0
ID=FBgn0051072	575	782	746	540	719	945	783
ID=FBgn0051075	1271	2216	2359	1414	2682	3334	2825
ID=FBgn0051076	0	0	0	1	0	0	0
ID=FBgn0051077	0	0	0	0	2	0	0
ID=FBgn0051080	0	0	0	0	0	2	0
ID=FBgn0051081	0	0	0	0	0	0	0
ID=FBgn0051084	0	0	0	2	0	0	0
ID=FBgn0051086	3	4	2	0	4	4	3
ID=FBgn0051087	1	0	2	1	0	0	1
ID=FBgn0051088	12	11	12	9	6	10	4
ID=FBgn0051089	0	0	0	1	0	0	0
ID=FBgn0051091	0	0	0	2	2	0	0
ID=FBgn0051092	117	121	77	358	378	518	118
ID=FBgn0051093	1	0	0	3	0	0	0
ID=FBgn0051097	0	6	0	0	2	0	0
ID=FBgn0051098	243	264	276	130	182	180	198
ID=FBgn0051099	0	0	0	0	0	0	0
ID=FBgn0051100	3	4	4	2	8	4	2
ID=FBgn0051102	2	4	0	0	0	0	0
ID=FBgn0051103	0	0	0	0	2	0	0
ID=FBgn0051104	2	0	6	1	8	2	1
ID=FBgn0051105	2	4	2	1	2	0	1
ID=FBgn0051106	0	0	1	2	2	0	2
ID=FBgn0051108	844	858	635	726	632	782	810
ID=FBgn0051109	93	88	71	90	80	125	104
ID=FBgn0051111	69	56	51	74	49	55	56
ID=FBgn0051115	9	11	21	12	8	23	12
ID=FBgn0051116	149	157	161	221	260	330	177
ID=FBgn0051118	83	61	108	53	80	95	89
ID=FBgn0051119	74	72	67	207	100	96	133
ID=FBgn0051121	5	6	4	6	8	2	5
ID=FBgn0051122	1542	2165	1908	1533	2250	2820	1822
ID=FBgn0051125	19	18	21	42	58	62	20
ID=FBgn0051126	168	119	124	145	154	169	178
ID=FBgn0051128	0	2	0	0	0	0	0
ID=FBgn0051130	2	0	0	0	0	0	0
ID=FBgn0051131	1	0	1	0	2	0	2
ID=FBgn0051133	59	95	132	96	135	143	134
ID=FBgn0051139	5	8	3	4	8	8	7
ID=FBgn0051140	423	645	480	424	547	741	450
ID=FBgn0051141	2	0	0	0	2	0	1
ID=FBgn0051143	0	0	0	0	0	0	0
ID=FBgn0051144	654	4098	4538	775	3918	5789	5887
ID=FBgn0051145	29	39	37	31	31	37	46
ID=FBgn0051146	1	1	0	2	0	5	0
ID=FBgn0051148	0	0	1	1	0	0	0
ID=FBgn0051151	2618	3940	3148	2224	3446	4312	3166
ID=FBgn0051155	371	319	397	288	320	377	425
ID=FBgn0051156	252	321	297	234	287	381	321
ID=FBgn0051157	1	0	0	1	0	0	0
ID=FBgn0051158	2052	3541	2612	2050	3408	4229	2857
ID=FBgn0051159	140	141	202	119	168	267	211
ID=FBgn0051161	26	15	27	30	27	34	27
ID=FBgn0051162	0	0	0	1	0	0	0
ID=FBgn0051163	175	131	107	241	141	135	151
ID=FBgn0051164	0	0	0	0	0	2	0
ID=FBgn0051165	0	0	0	0	0	0	0
ID=FBgn0051166	0	0	0	0	0	0	0
ID=FBgn0051167	0	0	0	0	0	0	0
ID=FBgn0051174	8	8	6	14	4	11	18
ID=FBgn0051176	2	0	2	0	2	1	2
ID=FBgn0051183	7	2	8	2	6	6	7
ID=FBgn0051184	324	316	392	397	448	572	400
ID=FBgn0051189	0	0	0	0	0	0	0
ID=FBgn0051191	1894	2376	2195	1703	1821	2319	2231
ID=FBgn0051195	720	863	860	1109	1566	1970	815
ID=FBgn0051198	0	2	0	0	0	2	0
ID=FBgn0051199	0	0	0	0	0	0	0
ID=FBgn0051200	1	0	0	0	0	0	0
ID=FBgn0051201	2	9	0	11	6	2	13
ID=FBgn0051202	5	6	0	2	4	5	4
ID=FBgn0051204	0	0	0	0	1	0	0
ID=FBgn0051205	0	0	0	0	0	0	1
ID=FBgn0051206	0	0	0	0	0	0	0
ID=FBgn0051207	0	0	0	0	0	0	0
ID=FBgn0051211	1279	2011	1741	1099	1839	2396	1522
ID=FBgn0051213	34	30	18	36	25	36	35
ID=FBgn0051215	0	0	0	0	0	0	0
ID=FBgn0051216	2067	2366	1888	2715	2463	3194	2110
ID=FBgn0051217	72	89	99	56	85	74	83
ID=FBgn0051219	1110	1980	2147	2005	2635	3314	3781
ID=FBgn0051220	1	0	0	2	0	7	3
ID=FBgn0051221	61	41	33	100	44	42	37
ID=FBgn0051223	203	188	214	179	258	278	226
ID=FBgn0051224	2559	3185	2794	2175	3227	3790	2724
ID=FBgn0051225	1	0	0	0	0	0	0
ID=FBgn0051226	0	0	0	1	0	0	0
ID=FBgn0051228	0	0	0	0	0	0	0
ID=FBgn0051229	195	273	277	174	272	370	259
ID=FBgn0051230	10	6	11	9	8	16	10
ID=FBgn0051231	13	8	13	5	23	14	7
ID=FBgn0051233	0	0	0	1	0	0	0
ID=FBgn0051242	1	0	0	3	0	0	0
ID=FBgn0051244	1	2	2	1	2	0	4
ID=FBgn0051245	1	2	0	1	4	0	0
ID=FBgn0051248	1	4	2	4	0	0	0
ID=FBgn0051249	199	303	298	216	236	333	345
ID=FBgn0051251	135	99	120	126	118	165	113
ID=FBgn0051253	1	0	3	1	0	0	1
ID=FBgn0051259	3	4	11	3	4	5	10
ID=FBgn0051262	34	23	35	31	17	14	16
ID=FBgn0051265	0	0	0	1	0	0	2
ID=FBgn0051266	0	0	0	0	0	0	1
ID=FBgn0051267	1	0	4	0	0	2	1
ID=FBgn0051268	0	0	0	0	0	0	0
ID=FBgn0051269	1	0	0	1	0	0	0
ID=FBgn0051272	3	4	6	2	5	2	5
ID=FBgn0051274	18	20	10	22	25	34	13
ID=FBgn0051278	78	90	100	82	110	118	107
ID=FBgn0051279	4	0	0	3	2	4	5
ID=FBgn0051281	1	0	0	0	0	0	1
ID=FBgn0051282	2	0	0	1	0	0	0
ID=FBgn0051286	0	0	0	0	0	0	0
ID=FBgn0051287	763	713	785	645	758	1126	824
ID=FBgn0051288	1	2	0	2	4	4	4
ID=FBgn0051292	58	44	34	13	10	31	44
ID=FBgn0051294	0	0	0	1	0	0	1
ID=FBgn0051296	31	30	9	34	26	44	31
ID=FBgn0051300	0	0	0	1	2	4	1
ID=FBgn0051301	720	663	786	611	765	953	825
ID=FBgn0051313	10	23	32	20	15	17	16
ID=FBgn0051321	5	9	6	8	0	9	7
ID=FBgn0051323	16	15	4	13	9	10	15
ID=FBgn0051324	1572	1851	1540	2152	2266	2688	1906
ID=FBgn0051326	28	35	35	16	15	22	20
ID=FBgn0051327	0	0	0	0	0	0	0
ID=FBgn0051331	0	0	0	0	0	0	0
ID=FBgn0051333	0	0	0	0	0	0	0
ID=FBgn0051334	0	0	0	0	0	0	0
ID=FBgn0051337	1090	1336	1507	461	646	1061	1236
ID=FBgn0051342	2410	3246	2971	2501	3212	4017	3709
ID=FBgn0051343	1	0	0	2	2	4	0
ID=FBgn0051344	330	423	457	325	477	565	530
ID=FBgn0051345	0	0	0	0	0	0	0
ID=FBgn0051347	129	87	64	130	85	123	99
ID=FBgn0051352	3531	5067	4302	3251	4800	6545	3837
ID=FBgn0051354	160	183	170	126	222	252	74
ID=FBgn0051356	0	0	0	0	0	0	0
ID=FBgn0051357	452	556	633	388	552	779	478
ID=FBgn0051358	1	4	0	0	0	4	0
ID=FBgn0051360	44	55	80	116	90	92	130
ID=FBgn0051361	1392	1749	1460	1778	2229	2812	1029
ID=FBgn0051363	6383	6780	5457	11890	11046	15150	7817
ID=FBgn0051365	695	669	634	600	627	747	600
ID=FBgn0051368	1260	1561	1368	1339	1736	1954	1415
ID=FBgn0051370	253	403	316	338	219	256	375
ID=FBgn0051371	1	0	2	0	0	0	1
ID=FBgn0051373	1	0	0	0	0	0	0
ID=FBgn0051374	74	112	55	94	87	114	63
ID=FBgn0051380	0	0	0	1	0	2	0
ID=FBgn0051382	2	0	0	2	0	0	0
ID=FBgn0051383	0	0	0	0	0	0	0
ID=FBgn0051386	2	0	0	3	3	2	0
ID=FBgn0051388	130	119	164	130	117	222	155
ID=FBgn0051390	212	271	242	244	315	326	252
ID=FBgn0051391	3	4	0	6	4	2	2
ID=FBgn0051404	1	0	2	0	2	0	2
ID=FBgn0051406	0	0	2	0	0	2	1
ID=FBgn0051407	1	2	3	2	0	0	2
ID=FBgn0051410	0	1	2	0	0	2	0
ID=FBgn0051413	0	0	0	0	0	0	0
ID=FBgn0051414	1	0	5	1	5	2	0
ID=FBgn0051415	34	62	58	21	20	45	42
ID=FBgn0051416	0	0	0	2	0	0	0
ID=FBgn0051418	0	0	0	0	0	0	0
ID=FBgn0051419	0	0	0	0	0	0	0
ID=FBgn0051423	0	0	0	0	0	0	0
ID=FBgn0051424	0	0	0	0	0	0	0
ID=FBgn0051427	1	2	3	0	0	0	1
ID=FBgn0051431	2843	3434	3454	1686	2035	2775	3960
ID=FBgn0051432	0	0	0	0	0	0	0
ID=FBgn0051436	136	142	136	168	159	223	119
ID=FBgn0051437	1	0	5	1	2	0	2
ID=FBgn0051438	0	0	0	0	0	0	0
ID=FBgn0051439	10	38	14	4	19	27	13
ID=FBgn0051441	124	139	180	134	159	213	171
ID=FBgn0051445	44	53	43	44	75	78	79
ID=FBgn0051446	2	2	6	6	0	1	1
ID=FBgn0051450	205	248	317	211	261	363	283
ID=FBgn0051451	109	130	104	143	104	185	63
ID=FBgn0051453	766	993	1006	888	1210	1644	896
ID=FBgn0051454	7	2	4	5	12	5	12
ID=FBgn0051457	144	213	217	161	193	342	147
ID=FBgn0051459	0	0	0	0	0	0	0
ID=FBgn0051460	186	199	261	280	375	460	332
ID=FBgn0051463	0	0	2	0	0	0	0
ID=FBgn0051464	0	0	0	2	2	2	3
ID=FBgn0051465	5	4	2	2	2	1	6
ID=FBgn0051467	37	30	47	33	24	36	39
ID=FBgn0051469	3	0	2	7	2	5	9
ID=FBgn0051471	1	0	0	1	0	0	0
ID=FBgn0051472	45	88	71	68	88	118	46
ID=FBgn0051473	1	1	7	6	5	6	6
ID=FBgn0051475	55	57	55	56	59	49	46
ID=FBgn0051477	29	40	38	89	70	80	32
ID=FBgn0051480	0	0	0	0	0	0	0
ID=FBgn0051481	29	25	9	39	12	22	16
ID=FBgn0051482	0	0	0	0	0	0	0
ID=FBgn0051491	1	0	1	5	0	0	0
ID=FBgn0051493	0	0	0	0	2	2	0
ID=FBgn0051494	1	0	0	3	0	0	0
ID=FBgn0051495	49	46	56	79	97	96	86
ID=FBgn0051496	0	0	0	0	0	0	0
ID=FBgn0051497	1	0	0	0	0	0	0
ID=FBgn0051501	0	0	0	0	0	0	0
ID=FBgn0051506	1	0	0	0	0	1	0
ID=FBgn0051510	474	390	288	396	307	370	423
ID=FBgn0051514	103	188	166	160	189	236	221
ID=FBgn0051515	0	0	0	0	0	0	0
ID=FBgn0051516	11	18	19	13	21	24	23
ID=FBgn0051518	1	0	0	2	0	0	1
ID=FBgn0051522	1088	1208	944	1034	1230	1637	1228
ID=FBgn0051523	7017	6661	5937	4098	3820	4449	8595
ID=FBgn0051524	0	0	0	0	0	2	0
ID=FBgn0051525	34	48	34	55	48	45	55
ID=FBgn0051526	7	26	4	14	6	15	6
ID=FBgn0051528	1	4	0	1	3	15	0
ID=FBgn0051533	1	0	0	0	0	0	0
ID=FBgn0051538	13	18	10	9	15	12	22
ID=FBgn0051542	0	1	0	3	0	1	5
ID=FBgn0051546	29	44	56	47	78	91	48
ID=FBgn0051547	16	29	19	18	25	13	15
ID=FBgn0051548	406	595	586	321	517	709	627
ID=FBgn0051549	398	632	680	432	873	1155	534
ID=FBgn0051550	1268	1737	1382	1044	1597	2082	1108
ID=FBgn0051551	19	27	20	20	26	13	8
ID=FBgn0051559	1	2	0	3	2	4	4
ID=FBgn0051560	0	0	0	1	0	0	0
ID=FBgn0051561	0	0	0	0	0	0	0
ID=FBgn0051562	0	1	0	0	0	0	0
ID=FBgn0051568	2	2	1	6	7	1	1
ID=FBgn0051569	1	0	0	1	0	0	0
ID=FBgn0051570	1	0	0	2	0	1	0
ID=FBgn0051573	0	0	0	0	0	0	0
ID=FBgn0051575	0	0	0	2	0	0	0
ID=FBgn0051576	0	0	0	2	0	0	0
ID=FBgn0051577	1	0	0	1	0	0	0
ID=FBgn0051578	0	0	0	0	1	0	0
ID=FBgn0051579	2	0	0	1	0	0	0
ID=FBgn0051580	0	0	0	1	0	0	0
ID=FBgn0051583	0	0	1	0	0	0	0
ID=FBgn0051588	0	0	0	0	0	0	0
ID=FBgn0051591	0	0	0	0	0	0	0
ID=FBgn0051601	2046	1570	1235	1826	1172	1454	1984
ID=FBgn0051602	1	3	0	1	0	0	0
ID=FBgn0051603	3	0	0	2	0	0	0
ID=FBgn0051604	1	1	0	4	0	0	0
ID=FBgn0051606	3	8	0	4	0	2	2
ID=FBgn0051609	1	2	0	3	3	0	0
ID=FBgn0051611	34	38	43	40	39	62	33
ID=FBgn0051612	460	390	316	473	344	434	417
ID=FBgn0051613	2	2	4	2	0	3	4
ID=FBgn0051614	72	112	88	141	168	184	182
ID=FBgn0051615	2	0	0	0	2	0	0
ID=FBgn0051616	2	0	0	1	0	0	0
ID=FBgn0051617	15	17	7	22	13	20	14
ID=FBgn0051618	4	2	3	7	3	4	5
ID=FBgn0051619	4360	5640	4651	4694	5946	7539	5350
ID=FBgn0051624	56	50	46	59	50	115	35
ID=FBgn0051626	27	21	31	35	24	47	23
ID=FBgn0051627	20	13	0	16	13	13	12
ID=FBgn0051631	0	0	0	0	0	0	0
ID=FBgn0051632	0	2	1	3	2	4	0
ID=FBgn0051633	106	118	150	109	95	169	167
ID=FBgn0051634	8	18	20	10	18	31	12
ID=FBgn0051635	805	1073	848	715	887	1084	769
ID=FBgn0051636	8	0	5	4	6	6	5
ID=FBgn0051637	2383	4205	3575	1952	2980	3695	3961
ID=FBgn0051638	845	1305	1214	845	1325	1725	1156
ID=FBgn0051639	0	0	0	0	0	0	0
ID=FBgn0051642	37	86	47	156	281	280	51
ID=FBgn0051643	1	6	11	22	16	11	27
ID=FBgn0051644	0	0	0	0	0	0	1
ID=FBgn0051646	0	0	0	0	0	0	1
ID=FBgn0051647	1	0	0	2	0	0	1
ID=FBgn0051648	248	259	283	259	346	427	307
ID=FBgn0051658	214	181	278	243	252	395	226
ID=FBgn0051659	0	0	0	1	0	0	0
ID=FBgn0051660	34	23	17	21	19	27	23
ID=FBgn0051661	2	0	0	1	0	0	1
ID=FBgn0051663	4	10	6	11	21	13	1
ID=FBgn0051664	1	1	2	0	2	0	2
ID=FBgn0051665	1	0	0	1	0	0	0
ID=FBgn0051668	27	35	37	36	34	48	40
ID=FBgn0051669	0	0	0	0	0	0	0
ID=FBgn0051673	1367	1593	1822	1527	1859	2391	1756
ID=FBgn0051674	130	150	146	132	177	189	150
ID=FBgn0051675	64	56	55	37	28	29	40
